N	;	Cartorio	;	Cidade	;	Email	;	Nome Completo	;	Nome Cracha	;	Telefone	;	Whatsapp	;	Status	;	Funcao	;
1	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Substituto	;
2	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	false	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Substituto	;
3	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	false	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Funcionário	;
4	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Substituto	;
5	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Funcionário	;
6	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Substituto	;
7	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Acompanhante	;
8	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Não	;	Inscrito	;	Titular	;
9	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Não	;	Inscrito	;	Titular	;
10	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Não	;	Inscrito	;	Funcionário	;
11	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Não	;	Cancelado	;	Acompanhante	;
12	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Não	;	Inscrito	;	Substituto	;
13	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Não	;	Inscrito	;	Funcionário	;
14	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Não	;	Cancelado	;	Acompanhante	;
15	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Funcionário	;
16	;	CARTORIO DO REGISTRO CIVIL DA PESSOS NATURAIS DO DISTRITO DE PASSAGEM	;	Chaval	;	gust904@gmail.com	;	Gustavo Lima De Sá Rodrigues	;	Gustavo Lima De Sá Rodrigues	;	(85) 9 9686-2321	;	Sim	;	Inscrito	;	Substituto	;
